timestamp,cpu_usage,memory_usage,network_bytes_sent,network_bytes_recv,server_status
1727068456.3534105,4.5,26.4,81442420,22382008698,UP
1727068458.3571036,3.0,26.5,81573378,22382121584,UP
1727068460.3622694,19.7,26.5,81679758,22382197836,UP
1727068462.3661225,49.5,26.3,83857266,22384207531,UP
1727068464.3698661,5.6,26.4,83949168,22384246043,UP
1727068466.3740659,16.1,22.2,84433896,22384900896,UP
1727068468.3777993,44.4,23.5,84699182,22385200904,UP
1727068470.397309,100.0,25.9,84832735,22385314281,UP
1727068472.4201539,100.0,26.9,84861389,22385341966,UP
1727068474.429606,100.0,27.0,84909134,22385376591,UP
1727068476.4345021,61.6,26.7,84958549,22385422176,UP
1727068478.4389343,28.0,26.5,85090627,22385518165,UP
1727068480.4420085,21.7,26.9,85210935,22385614330,UP
1727068482.445464,4.5,26.7,85340427,22385699890,UP
1727068484.4494698,15.0,26.7,85491537,22385838555,UP
1727068486.4533627,8.7,26.9,85641605,22385975564,UP
1727068488.457463,6.0,27.1,85802530,22386101695,UP
1727068490.4615238,22.7,27.4,85956026,22386240485,UP
1727068492.4649446,11.7,26.7,86064100,22386322827,UP
1727068494.4690263,6.1,26.8,86196556,22386409281,UP
1727068496.4730785,7.0,26.8,86291512,22386477455,UP
1727068498.4766428,6.0,26.9,86391821,22386547981,UP
1727068500.480599,17.9,27.2,86526612,22386641613,UP
1727068502.484668,5.6,26.6,86646282,22386723950,UP
1727068504.4892905,6.1,26.3,86754363,22386803517,UP
1727068506.4928281,8.2,26.3,86855263,22386875006,UP
1727068508.4967093,10.2,26.4,86969304,22386945046,UP
1727068510.5009437,15.2,26.7,87079390,22387024463,UP
1727068512.5046463,1.0,26.7,87181517,22387094237,UP
1727068514.5085568,9.1,26.7,87308332,22387177933,UP
1727068516.5126033,6.1,26.7,87393950,22387229746,UP
1727068518.5168798,1.0,26.7,87406102,22387239204,UP
1727068520.5210166,5.1,26.7,87549390,22387346907,UP
1727068522.5255487,3.0,26.7,87663891,22387423868,UP
1727068524.5295427,9.0,26.3,87769575,22387493117,UP
1727068526.5334804,7.0,26.3,87882809,22387562022,UP
1727068528.537598,2.5,26.3,87898429,22387576738,UP
1727068530.5414898,15.1,26.5,87917669,22387588568,UP
1727068532.545458,2.0,26.6,87976956,22387652129,UP
1727068534.5495281,25.6,26.3,88156428,22387771811,UP
1727068536.5534172,9.5,26.0,88253368,22387839211,UP
1727068538.5572574,3.5,26.0,88377260,22387916295,UP
1727068540.5605292,7.7,26.0,88493636,22388004641,UP
1727068542.5639734,2.0,26.2,88593805,22388066637,UP
1727068544.5680475,5.1,26.2,88728368,22388157787,UP
1727068546.572075,14.6,26.2,88862543,22388251177,UP
1727068548.57578,2.0,26.2,89005418,22388355755,UP
1727068550.579739,6.5,26.2,89140898,22388441524,UP
1727068552.5845978,8.5,26.1,89428421,22388686051,UP
1727068554.5895715,6.0,26.1,89588723,22388833848,UP
1727068556.593878,5.1,26.2,89817591,22389020064,UP
1727068558.5979183,2.5,26.3,89944358,22389108205,UP
1727068560.602011,4.6,26.3,90177120,22389270198,UP
1727068562.6057694,8.6,26.0,90514259,22389580322,UP
1727068564.609916,4.5,26.0,90656953,22389674578,UP
1727068566.613853,6.0,26.0,90808875,22389800316,UP
1727068568.6181169,6.5,26.2,90970848,22389895588,UP
1727068570.622209,6.0,26.2,91123791,22389998745,UP
1727068572.6264067,7.0,25.8,91239760,22390069026,UP
1727068574.6295357,7.0,25.9,91395290,22390166217,UP
1727068576.6333447,13.6,25.9,91542516,22390271125,UP
1727068578.6376228,12.1,26.1,91699215,22390407004,UP
1727068580.641766,10.0,26.1,91877376,22390634481,UP
1727068582.645874,54.8,25.8,92077540,22399917159,UP
1727068584.6501057,70.5,26.1,92233411,22400038738,UP
1727068586.654706,32.0,25.8,92489140,22400215222,UP
1727068588.658711,4.0,25.9,92625582,22400311182,UP
1727068590.662651,12.3,26.0,92781002,22400416978,UP
1727068592.6668267,30.0,26.3,92944506,22400526026,UP
1727068594.6707375,11.1,26.3,93118583,22400655014,UP
1727068596.6746545,9.1,26.3,93266006,22400756376,UP
1727068598.6784317,5.5,26.3,93429006,22400861566,UP
1727068600.683292,18.5,26.4,93614169,22400990946,UP
1727068602.6873648,16.1,26.0,93752852,22401084567,UP
1727068604.6907637,9.9,26.0,93928446,22401193730,UP
1727068606.694629,10.0,26.2,94066798,22401289432,UP
1727068608.6979864,4.0,26.2,94214352,22401385854,UP
1727068610.701787,9.5,26.2,94377148,22401488501,UP
1727068612.7052126,26.0,26.4,94404529,22401519729,UP
1727068614.7087817,6.1,26.4,94442434,22401549922,UP
1727068616.7130284,9.1,26.4,94610052,22401655165,UP
1727068618.7165,2.5,25.9,94620613,22401661636,UP
1727068620.7201426,7.0,26.0,94650432,22401688059,UP
1727068622.7241006,22.2,26.2,94710544,22401736922,UP
1727068624.728213,8.5,26.3,94908956,22401892694,UP
1727068626.7322712,4.5,26.3,95200886,22402076209,UP
1727068628.736555,5.0,26.3,95367308,22402188298,UP
1727068630.7407236,7.5,26.3,95524916,22402290230,UP
1727068632.7456615,12.7,26.5,95669103,22402379441,UP
1727068634.7496476,7.0,26.2,95718861,22402415308,UP
1727068636.7534528,5.0,26.2,95971147,22402572170,UP
1727068638.7575345,7.7,26.3,96120920,22402679425,UP
1727068640.7613025,5.5,26.3,96311388,22402797281,UP
1727068642.7647579,7.4,26.3,96469649,22402903767,UP
1727068644.7687688,6.6,26.1,96627090,22403003115,UP
1727068646.7722511,2.5,26.1,96658394,22403016180,UP
1727068648.7762132,1.5,26.1,96798471,22403111361,UP
1727068650.780054,5.6,26.1,96963530,22403233843,UP
1727068652.78418,5.5,26.1,97005129,22403253339,UP
1727068654.788418,11.5,26.0,97151381,22403348097,UP
1727068656.7928593,3.0,26.0,97180816,22403384472,UP
1727068658.7965941,2.0,26.0,97217593,22403402385,UP
1727068660.8000767,10.7,26.2,97321537,22403460507,UP
1727068662.8039174,6.0,26.2,100416879,22403495194,UP
1727068664.8081605,2.0,26.4,100445926,22403505502,UP
1727068666.8123684,1.5,26.5,100455336,22403511142,UP
1727068668.816511,1.5,26.5,100467183,22403519583,UP
1727068670.8204784,11.1,26.2,100495667,22403529560,UP
1727068672.824179,7.1,26.2,100536635,22403553460,UP
1727068674.8282707,1.5,26.2,100597971,22403611610,UP
1727068676.8321035,9.1,26.3,100624121,22403635676,UP
1727068678.8363252,1.5,26.3,100672979,22403661917,UP
1727068680.8399787,5.5,26.3,100691765,22403679677,UP
1727068682.8438258,5.6,26.3,100704284,22403690036,UP
1727068684.8479404,2.5,26.1,100739982,22403709552,UP
1727068686.8519,7.4,26.2,100771413,22403752175,UP
1727068688.8558016,5.4,26.2,100795409,22403772471,UP
1727068690.8598063,6.0,26.2,100827469,22403788672,UP
1727068692.863828,11.9,26.3,100836871,22403794304,UP
1727068694.8675296,2.0,25.9,100854538,22403804223,UP
1727068696.8714519,2.0,25.9,100882390,22403813866,UP
1727069088.3478189,7.5,27.9,145513902,22427478817,UP
1727069090.3511353,11.2,27.7,145614096,22427531219,UP
1727069092.3554778,13.6,28.0,145778848,22427627602,UP
1727069094.3589704,4.0,28.0,145918495,22427714113,UP
1727069096.3631318,4.5,28.0,146025346,22427771887,UP
1727069098.3666296,14.5,27.7,146146157,22427833251,UP
1727069100.371225,7.0,28.0,146252283,22427892419,UP
1727069102.374788,10.4,28.1,146361797,22427957356,UP
1727069104.378752,10.0,28.3,146484079,22428019521,UP
1727069106.3826034,5.5,27.8,146589787,22428078166,UP
1727069108.386095,3.0,27.8,146710782,22428145860,UP
1727069110.3898897,3.0,28.0,146840781,22428213498,UP
1727069112.3937178,8.1,28.2,146949171,22428273977,UP
1727069114.397313,14.6,28.2,147056870,22428333173,UP
1727069116.4009273,4.5,28.2,147182314,22428395893,UP
1727069118.404845,3.5,28.2,147291533,22428454805,UP
1727069120.4086437,8.5,27.8,147397539,22428513847,UP
1727069122.4126394,10.0,27.9,147536548,22428584606,UP
1727069124.4168313,6.6,27.9,147666542,22428658731,UP
1727069126.4207418,4.0,28.0,147775309,22428720218,UP
1727069128.4251473,8.5,28.0,147906708,22428790024,UP
1727069130.429047,9.0,28.1,148014358,22428850158,UP
1727069132.4333842,3.0,28.3,148124581,22428909774,UP
1727069134.437455,10.4,28.3,148233329,22428972556,UP
1727069136.441533,11.1,27.8,148358998,22429033447,UP
1727069138.4453983,8.5,27.9,148472822,22429099601,UP
1727069140.4494724,3.0,27.9,148580804,22429160605,UP
1727069142.4531915,5.6,28.4,148722804,22429234774,UP
1727069144.456964,7.1,28.4,148838436,22429297799,UP
1727069146.4607258,7.5,28.4,148945095,22429357024,UP
1727069148.4645383,8.1,28.4,149079217,22429428867,UP
1727069150.468198,3.5,28.4,149187585,22429488563,UP
1727069152.4720495,11.9,28.4,149300746,22429551627,UP
1727069154.4757855,6.0,28.4,149431176,22429615929,UP
1727069156.4805217,2.5,28.4,149543277,22429681242,UP
1727069158.4849477,6.6,28.4,149665166,22429753622,UP
1727069160.4882553,1.0,28.4,149793051,22429818562,UP
1727069162.491642,1.5,28.1,149902068,22429875057,UP
1727069164.495104,3.5,28.1,150014918,22429940979,UP
1727069166.4984872,3.5,28.1,150147125,22430006307,UP
1727069168.5022407,14.0,28.2,150260185,22430068489,UP
1727069170.5056593,1.5,28.2,150375120,22430130376,UP
1727069172.5097249,9.1,28.4,150503825,22430195624,UP
1727069174.513177,9.9,27.9,150619417,22430256528,UP
1727069176.5167127,2.5,27.9,150727254,22430313536,UP
1727069178.5210357,5.5,27.9,150759996,22430330031,UP
1727069180.524432,1.5,28.1,150869317,22430388647,UP
1727069182.527963,9.7,28.3,150996975,22430462736,UP
1727069184.5323284,10.5,28.3,151134646,22430532675,UP
1727069186.5361912,3.0,28.3,151148847,22430541214,UP
1727069188.5398529,6.5,28.3,151280867,22430617963,UP
1727069190.5441303,10.0,28.0,151420719,22430685678,UP
1727069192.5481462,10.2,27.9,151557884,22430768422,UP
1727069194.5518925,15.1,20.5,151573497,22430775474,UP
1727069196.5560837,2.5,20.4,151702326,22430838070,UP
1727069198.559902,5.5,20.4,151712573,22430844559,UP
1727069200.5640466,5.0,20.4,151723086,22430851032,UP
1727069202.5685568,10.6,20.6,151854849,22430917815,UP
1727069204.57222,4.5,20.6,151976027,22430987517,UP
1727069206.5758176,9.5,20.6,152088268,22431048964,UP
1727069208.5794206,6.5,20.7,152227589,22431121343,UP
1727069210.5836165,2.5,20.7,152342775,22431181670,UP
